,Deposit,Delivered,Uploaded,Returned
طلبات بالطريق للفروع,X,,,
طلبات سترسل للفروع,X,,,
طلبات فى الشركة,X,,,
طلبات جارى تجهيزها,X,,,
طلبات عند العميل,X,,,
طلبات قيد الأنتظار,,,X,
طلبات مؤجلة مع المندوب,X,,,
طلبات مؤجلة التسليم,X,,,
بإنتظار تسوية المندوب,,X,,
طلبات جارى توصيلها,X,,,
طلبات مرسلة للمندوب,X,,,
طلبات وصلت الفروع,X,,,
طلبات راجعه إلى الشركة,,,,X
طلبات راجعه بالفروع,,,,X
طلبات راجعه لدى المندوب,,,,X
طلبات تم رفض استلامها,,,,X
طلبات تسليمها جزئياً,X,,,
طلبات تم تسليمها,X,,,
طلبات راجعه فى الشركة,,,,X
